Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Dalano Banton,POR,SAC,W,9.9,2,3,0.667,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,0,4,3.6,2025-02-06
Christian Koloko,LAL,GSW,W,3.83,2,2,1.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,4,3.6,2025-02-06
Trevelin Queen,ORL,DEN,L,11.25,1,8,0.125,0,4,0.0,2,2,1.0,3,2,5,2,2,0,1,1,4,3.5,2025-02-06
T.J. McConnell,IND,LAC,W,14.9,2,8,0.25,1,2,0.5,0,0,0.0,1,2,3,6,1,0,3,1,5,3.3,2025-02-06
Rob Dillingham,MIN,HOU,W,13.03,3,5,0.6,0,2,0.0,0,0,0.0,0,0,0,0,1,0,1,2,6,2.9,2025-02-06
Shake Milton,LAL,GSW,W,15.22,1,3,0.333,0,0,0.0,0,0,0.0,0,3,3,2,1,1,1,1,2,2.9,2025-02-06
Jae'Sean Tate,HOU,MIN,L,10.52,0,1,0.0,0,1,0.0,0,0,0.0,1,2,3,3,1,0,0,2,0,2.9,2025-02-06
Nickeil Alexander-Walker,MIN,HOU,W,32.08,1,4,0.25,0,1,0.0,0,0,0.0,0,3,3,2,1,0,0,1,2,2.5,2025-02-06
Toumani Camara,POR,SAC,W,35.93,2,13,0.154,0,4,0.0,0,0,0.0,5,9,14,2,1,1,1,4,4,2.4,2025-02-06
Donovan Clingan,POR,SAC,W,16.88,1,2,0.5,0,0,0.0,0,2,0.0,2,5,7,1,0,1,1,3,2,2.3,2025-02-06
Kris Dunn,LAC,IND,L,22.27,0,5,0.0,0,1,0.0,1,2,0.5,1,5,6,5,1,1,1,3,1,2.3,2025-02-06
Trey Lyles,SAC,POR,L,13.68,1,3,0.333,0,1,0.0,0,0,0.0,0,2,2,1,1,0,0,1,2,2.2,2025-02-06
Olivier-Maxence Prosper,DAL,BOS,W,14.22,0,3,0.0,0,1,0.0,0,0,0.0,1,0,1,2,3,0,0,2,0,2.2,2025-02-06
Al Horford,BOS,DAL,L,20.88,1,4,0.25,1,3,0.333,0,0,0.0,0,5,5,1,0,0,1,0,3,1.8,2025-02-06
